recipient,amount
0xc579ef8b14774bd15c021d2c0aafd04bdd7dd137,11068669759247900000
0xc28a78a1119c530ce6035d474fe616c4eec4ee57,10979370919327100000
0x92c6f8f00a21a586ffd2b0d0ed473585464724a6,10968767895979000000
0x4ae8eef1c08e912bff6f1dba435d29ae273e6d7f,10915097784515900000
0x82d6b7f9477c9630b16bd24c270d2b51d5904b91,10907510072178700000
0xc00c673ee49edbd3a797cf5c70117158e0746709,10897684356834100000
0x0b235b1a57707806c3cda99b57cb3cef36ad0c14,10835481688072600000
0xe29999070368edebcb170647d6bfde11b32767a8,10828406339733600000
0xfee6e9a1ac0571ed121189e593847982515f8b53,10427620940631100000
0x92e22fff036845f2a1eb40214eddd7474a904c0f,10293468980431200000
0xc25b3ecf8729672d939cdf7580c7b03e2fe2da81,10180442217540300000
0x4281eb38f66be4cdbc43030af01bb722b787a2a6,9858554300739810000
0x5ff5b5477cb8c175052fbff9ba9245923c9d6a38,9823317224521030000
0xfd908dc02a2c241075253575ff4b0fe0cf8ea296,9808134546833290000
0x0b4bd4fb08a2449b63709ec0e89f14c96259ce67,9665274367901600000
0x77380f9f196a89d0543b3c1a1317d86c10fd9c83,9559567939810890000
0xc6ed02685a62af7f51738b16113d6f29555179f6,9284067380903400000
0x863a3bd6f28f4f4a131c88708da91076fdc362c7,9081790720193450000
0xd84b012ebffa47e0f3650f066c723746255272fc,9000096493917400000
0x4508e460f91655c6dbdea79e3b621db75c6e3cfd,8967830651739330000
0xd2f242a747eb04cd99fe2aa2124322ec453e13e6,8862022256332560000
0x95a4a0dcded1c2285cb27d7385237089c2ba4d94,8820512832010760000
0xde0ed312c2a3f9a105a00a2c65d4487be7249e18,8716476248002340000
0xe89f03622a4c370468f3c802affcd1d4a1d193e2,8568722245137010000
0x203a67b09429d1baa2c56eb4c57634e498f07819,8561150102780900000
0xdcedf06fd33e1d7b6eb4b309f779a0e9d3172e44,8544240754799920000
0x4522f9c732da9c04243182d85ae0ca5a766c8edd,8498892653187530000
0xcc369efcda35691cab9aab0ac4ae87179a5b5567,8295579554020860000
0xef85be58577aa598210f9e4c39e947dd04c3e517,8287695668754270000
0x2b2fef241ecf63e50a4e18f5d85e728a21f7e4be,8129722455663620000
0x3d723c7dd30bb0f8094d0aad40a8143153f166aa,8106834847025880000
0x9ab4488578b3e9de3d7c44058fffe21855fdaffe,7980210471774490000
0x1df3cc53e85481d503eada1c7593a1999d7cc786,7824047009589370000
0x0946bc5c2f9848665cc3811458de403d0a78ad8e,7676209675311830000
0x24bdb92387f09e32c3099ce4383b2ec893247083,7644685033959880000
0x7722c6bf5f3365757505aa5a6f1396042372eedd,7558323504301370000
0x5c33bc059eafa04a0ebb97088feec3a52623f65d,7276199608099590000
0x8771ac12777b4cdefefe53f259f73065f7d74518,7259121410294320000
0x0292828d7bd92e1f5e5d4db76c0718cce796fefd,6991867039908830000
0x2ab539093843c221184b6bcca8994897c5f536d1,6938349787354710000
0x0f41253ce19e5c05113955f1eef720e83b044095,6889739140153180000
0x49456cbd877b1fa713e6e55c4a3279e652e5ebca,6874234117111240000
0x25d0cff8c47f33b32192b3ea9824ac1bc550bd43,6839169384084670000
